ID,item1,item2,item3,item4,syllables,relation,correct,type
101,Düse,Trommel,Erde,Besteck,2,none,item4, practice 
102,DÜse,TROMMel,ERde,BeSTECK,2,none,item4, practice 
201,Programm,Rücken,Waggon,Person,2,none,item2,test
202,Ziegel,Diktat,Betrug,Gesicht,2,none,item1,test
203,Frisur,Stempel,Winter,Pfote,2,none,item1,test
204,Apfel,Silbe,Perle,Mutant,2,none,item4,test
205,Salat,Sache,Samba,Truhe,2,phonological,item1,test
206,Flöte,Klavier,Löwe,Geige,2,semantic,item2,test
207,Koran,Konflikt,Komma,Kopie,2,phonological,item4,test
208,Monarch,Regent,König,Geruch,2,semantic,item3,test
209,Justiz,Betrieb,Partei,Gesang,2,none,none,test
210,Hobby,Mantel,Kanzler,Liebe,2,none,none,test
211,Arrest,Armee,Bereich,Archiv,2,phonological,none,test
212,Maler,Pinsel,Mutter,Farbe,2,semantic,none,test
301,Überfall,Ungeduld,Minigolf,Einigung,3,none,none,test
302,Niedergang,Zauberer,Einzelhaft,Bedenken,3,none,item4,test
303,Lexikon,Medizin,Kamera,Maximum,3,none,item2,test
304,November,Dezember,Januar,Minute,3,semantic,item3,test
305,Eidechse,Laterne,Kassette,Rakete,3,none,item1,test
306,Geburtstag,General,Gedanke,Geheimnis,3,phonological,item2,test
307,Elefant,Krokodil,Leopard,Industrie,3,semantic,none,test
308,Übermut,Demokrat,Batterie,Diplomat,3,none/phonol.,item1,test
309,Dokument,Politik,Hypothek,Erotik,3,none/phonol.,item4,test
310,Himbeere,Flughafen,Ausnahme,Erdbeben,3,none,none,test
311,Tomate,Banane,Melone,Zitrone,3,sem./phonol.,none,test
312,Qualität,Pandemie,Horoskop,Privileg,3,none,none,test
401,rote Dose,meine Tante,keine Freiheit,neue Partei,4,none,item4,test
402,Tribut zollen,Pläne schmieden,Besteck putzen,Gehalt zahlen,4,none,item2,test
403,Bekantheitsgrad,Bestelloption,Bereitschaftsdienst,Beteiligung,4,none,none,test
404,Hass verbreiten,Hüte tragen,Ruhm erringen,einsam bleiben,4,none,none,test
405,tote Tiere,trübe Tassen,acht Regale,teurer Turnschuh,4,phonological,none,test
406,genug Verstand,gegen die Wand,unter der Hand,unelegant,4,phonological,item1,test
407,Warensendung,Lieferzeiten,Versandkosten,Rechnungsnummer,4,semantic,item3,test
408,unser Produkt,neues Modell,größerer Markt,hoher Gewinn,4,semantic,none,test
